# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	328
#@/user_id	441ddf59-dd76-4272-9cbf-705f2feb15bd
a 	啊	c=2 d=0.501902 t=328
tuo 	託	c=0 d=0.0697676 t=328
wan cheng 	完成	c=2 d=0.887564 t=328
wang luo 	網絡	c=3 d=1.0942 t=328
wei 	微	c=1 d=0.891366 t=328
wei 	爲	c=1 d=0.402524 t=328
wei ji bai ke 	維基百科	c=1 d=0.951229 t=328
wen jian 	文件	c=0 d=0.0290835 t=328
wo 	我	c=3 d=1.67443 t=328
wo de 	我的	c=2 d=1.12015 t=328
xi wang 	希望	c=2 d=1.24801 t=328
xian cheng 	縣城	c=1 d=0.23457 t=328
xian zai 	現在	c=1 d=0.644036 t=328
xiang 	想	c=1 d=0.621885 t=328
xiang mu 	項目	c=1 d=0.444858 t=328
xiao 	校	c=1 d=0.412714 t=328
xie zai 	卸載	c=1 d=0.839457 t=328
xie zai 	寫在	c=1 d=0.748264 t=328
xin li 	心理	c=3 d=1.25091 t=328
xin xi 	信息	c=2 d=0.495672 t=328
xu yao 	需要	c=1 d=0.268474 t=328
xue 	學	c=4 d=2.12171 t=328
xue xiao 	學校	c=2 d=0.823495 t=328
xue yuan 	學院	c=1 d=0.247833 t=328
yan 	顏	c=3 d=2.89691 t=328
yan fa 	研發	c=4 d=2.18095 t=328
yang 	陽	c=1 d=0.274274 t=328
ye neng gou 	也能夠	c=0 d=0.0826959 t=328
yi jian 	意見	c=1 d=0.615697 t=328
yi xia 	一下	c=1 d=0.666977 t=328
yong 	用	c=1 d=0.83527 t=328
yong hu 	用戶	c=2 d=0.9424 t=328
you 	友	c=1 d=0.733447 t=328
you 	有	c=1 d=0.585669 t=328
you xiang 	郵箱	c=1 d=0.496585 t=328
yu yan 	語言	c=2 d=1.60506 t=328
yuan 	元	c=2 d=1.51204 t=328
yuan dai ma 	源代碼	c=1 d=0.814647 t=328
yuan ma 	源碼	c=1 d=0.882497 t=328
yuan shou 	元首	c=0 d=0.0995012 t=328
yuan wen jian 	源文件	c=1 d=0.70822 t=328
yun 	暈	c=0 d=0.0257947 t=328
yun suan fu 	運算符	c=1 d=0.722527 t=328
yun xing 	運行	c=1 d=0.451581 t=328
zai na 	在哪	c=3 d=2.28628 t=328
zeng 	曾	c=1 d=0.913931 t=328
zeng qiang 	增強	c=1 d=1 t=328
zhan kai 	展開	c=0 d=0.0697676 t=328
zhe shi 	這是	c=3 d=1.61614 t=328
zhi jin 	至今	c=1 d=0.453845 t=328
zhong guo 	中國	c=1 d=0.22313 t=328
zhong wen 	中文	c=2 d=0.517226 t=328
zhong wen wang 	中文網	c=1 d=0.810584 t=328
zhong xin 	中心	c=1 d=0.410656 t=328
zhu 	住	c=0 d=0.0453845 t=328
zi 	字	c=1 d=0.985112 t=328
zi 	自	c=1 d=0.447088 t=328
zi ding yi 	自定義	c=1 d=1 t=328
zi jie 	字節	c=1 d=0.900325 t=328
